sequence_id,known_subfamily
family308_seq001,LTR13_v
family308_seq002,LTR13_v
family308_seq003,LTR13_v
family308_seq004,LTR13_v
family308_seq005,LTR13_v
family308_seq006,LTR13_v
family308_seq007,LTR13_v
family308_seq008,LTR13_v
family308_seq009,LTR13_v
family308_seq010,LTR13_v
family308_seq011,LTR13_v
family308_seq012,LTR13_v
family308_seq013,LTR13_v
family308_seq014,LTR13_v
family308_seq015,LTR13_v
family308_seq016,LTR13_v
family308_seq017,LTR13_v
family308_seq018,LTR13_v
family308_seq019,LTR13_v
family308_seq020,LTR13_v
family308_seq021,LTR13_v
family308_seq022,LTR13_v
family308_seq023,LTR13_v
family308_seq024,LTR13_v
family308_seq025,LTR13_v
family308_seq026,LTR13_v
family308_seq027,LTR13_v
family308_seq028,LTR13_v
family308_seq029,LTR13_v
family308_seq030,LTR13_v
family308_seq031,LTR13_v
family308_seq032,LTR13_v
family308_seq033,LTR13_v
family308_seq034,LTR13_v
family308_seq035,LTR13_v
family308_seq036,LTR13_v
family308_seq037,LTR13_v
family308_seq038,LTR13_v
family308_seq039,LTR13_v
family308_seq040,LTR13_v
family308_seq041,LTR13_v
family308_seq042,LTR13_v
family308_seq043,LTR13_v
family308_seq044,LTR13_v
family308_seq045,LTR13_v
family308_seq046,LTR13_v
family308_seq047,LTR13_v
family308_seq048,LTR13_v
family308_seq049,LTR13_v
family308_seq050,LTR13_v
family308_seq051,LTR13_v
family308_seq052,LTR13_v
family308_seq053,LTR13_v
family308_seq054,LTR13_v
family308_seq055,LTR13_v
family308_seq056,LTR13_v
family308_seq057,LTR13_v
family308_seq058,LTR13_v
family308_seq059,LTR13_v
family308_seq060,LTR13_v
family308_seq061,LTR13A
family308_seq062,LTR13A
family308_seq063,LTR13A
family308_seq064,LTR13A
family308_seq065,LTR13A
family308_seq066,LTR13A
family308_seq067,LTR13A
family308_seq068,LTR13A
family308_seq069,LTR13A
family308_seq070,LTR13A
family308_seq071,LTR13A
family308_seq072,LTR13A
family308_seq073,LTR13A
family308_seq074,LTR13A
family308_seq075,LTR13A
family308_seq076,LTR13A
family308_seq077,LTR13A
family308_seq078,LTR13A
family308_seq079,LTR13A
family308_seq080,LTR13A
family308_seq081,LTR13A
family308_seq082,LTR13A
family308_seq083,LTR13A
family308_seq084,LTR13A
family308_seq085,LTR13A
family308_seq086,LTR13A
family308_seq087,LTR13A
family308_seq088,LTR13A
family308_seq089,LTR13A
family308_seq090,LTR13A
family308_seq091,LTR13A
family308_seq092,LTR13A
family308_seq093,LTR13A
family308_seq094,LTR13A
family308_seq095,LTR13A
family308_seq096,LTR13A
family308_seq097,LTR13A
family308_seq098,LTR13A
family308_seq099,LTR13A
family308_seq100,LTR13A
family308_seq101,LTR13A
family308_seq102,LTR13A
family308_seq103,LTR13A
family308_seq104,LTR13A
family308_seq105,LTR13A
family308_seq106,LTR13A
family308_seq107,LTR13A
family308_seq108,LTR13A
family308_seq109,LTR13A
family308_seq110,LTR13A
family308_seq111,LTR13A
family308_seq112,LTR13A
family308_seq113,LTR13A
family308_seq114,LTR13A
family308_seq115,LTR13A
family308_seq116,LTR13A
family308_seq117,LTR13A
family308_seq118,LTR13A
family308_seq119,LTR13A
family308_seq120,LTR13A
family308_seq121,LTR13A
family308_seq122,LTR13A
family308_seq123,LTR13A
family308_seq124,LTR13A
family308_seq125,LTR13A
family308_seq126,LTR13A
family308_seq127,LTR13A
family308_seq128,LTR13A
family308_seq129,LTR13A
family308_seq130,LTR13A
family308_seq131,LTR13A
family308_seq132,LTR13A
family308_seq133,LTR13A
family308_seq134,LTR13A
family308_seq135,LTR13A
family308_seq136,LTR13A
family308_seq137,LTR13A
family308_seq138,LTR13A
family308_seq139,LTR13A
family308_seq140,LTR13A
family308_seq141,LTR13A
family308_seq142,LTR13A
family308_seq143,LTR13A
family308_seq144,LTR13A
family308_seq145,LTR13A
family308_seq146,LTR13A
family308_seq147,LTR13A
family308_seq148,LTR13A
family308_seq149,LTR13A
family308_seq150,LTR13A
family308_seq151,LTR13A
family308_seq152,LTR13A
family308_seq153,LTR13A
family308_seq154,LTR13A
family308_seq155,LTR13A
family308_seq156,LTR13A
family308_seq157,LTR13A
family308_seq158,LTR13A
family308_seq159,LTR13A
family308_seq160,LTR13A
family308_seq161,LTR13A
family308_seq162,LTR13A
family308_seq163,LTR13A
family308_seq164,LTR13A
family308_seq165,LTR13A
family308_seq166,LTR13A
family308_seq167,LTR13A
family308_seq168,LTR13A
family308_seq169,LTR13A
family308_seq170,LTR13A
family308_seq171,LTR13A
family308_seq172,LTR13A
family308_seq173,LTR13A
family308_seq174,LTR13A
family308_seq175,LTR13A
family308_seq176,LTR13A
family308_seq177,LTR13A
family308_seq178,LTR13A
family308_seq179,LTR13A
family308_seq180,LTR13A
family308_seq181,LTR13A
family308_seq182,LTR13A
family308_seq183,LTR13A
family308_seq184,LTR13A
family308_seq185,LTR13A
family308_seq186,LTR13A
family308_seq187,LTR13A
family308_seq188,LTR13A
family308_seq189,LTR13A
family308_seq190,LTR13A
family308_seq191,LTR13A
family308_seq192,LTR13A
family308_seq193,LTR13A
family308_seq194,LTR13A
family308_seq195,LTR13A
family308_seq196,LTR13A
family308_seq197,LTR13A
family308_seq198,LTR13A
family308_seq199,LTR13A
family308_seq200,LTR13A
family308_seq201,LTR13A
family308_seq202,LTR13A
family308_seq203,LTR13A
family308_seq204,LTR13A
family308_seq205,LTR13A
family308_seq206,LTR13A
family308_seq207,LTR13A
family308_seq208,LTR13A
family308_seq209,LTR13A
family308_seq210,LTR13A
family308_seq211,LTR13A
family308_seq212,LTR13A
family308_seq213,LTR13A
family308_seq214,LTR13A
family308_seq215,LTR13A
family308_seq216,LTR13A
family308_seq217,LTR13A
family308_seq218,LTR13A
family308_seq219,LTR13A
family308_seq220,LTR13A
family308_seq221,LTR13A
family308_seq222,LTR13A
family308_seq223,LTR13A
family308_seq224,LTR13A
family308_seq225,LTR13A
family308_seq226,LTR13A
family308_seq227,LTR13A
family308_seq228,LTR13A
family308_seq229,LTR13A
family308_seq230,LTR13A
family308_seq231,LTR13A
family308_seq232,LTR13A
family308_seq233,LTR13A
